高清频道,#genre#
CCTV1,http://183.251.61.207/PLTV/88888888/224/3221225829/index.m3u8
CCTV1,http://183.251.61.207/PLTV/88888888/224/3221225812/index.m3u8
CCTV2,http://183.251.61.207/PLTV/88888888/224/3221225800/index.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://183.251.61.207/PLTV/88888888/224/3221225802/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226019/index.m3u8
CCTV5,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://183.251.61.207/PLTV/88888888/224/3221225821/index.m3u8
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV6,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://183.251.61.207/PLTV/88888888/224/3221225805/index.m3u8
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://183.251.61.207/PLTV/88888888/224/3221225820/index.m3u8
CCTV10,http://183.251.61.207/PLTV/88888888/224/3221225814/index.m3u8
CCTV11,http://183.251.61.207/PLTV/88888888/224/3221225815/index.m3u8
CCTV12,http://183.251.61.207/PLTV/88888888/224/3221225816/index.m3u8
CCTV12,http://183.251.61.207/PLTV/88888888/224/3221225932/index.m3u8
CCTV13,http://183.251.61.207/PLTV/88888888/224/3221225817/index.m3u8
CCTV14,http://183.251.61.207/PLTV/88888888/224/3221225819/index.m3u8
CCTV15,http://183.251.61.207/PLTV/88888888/224/3221225818/index.m3u8
CCTV16,http://183.251.61.207/PLTV/88888888/224/3221227148/index.m3u8
CCTV16,http://183.251.61.207/PLTV/88888888/224/3221227125/index.m3u8
CCTV16,http://183.251.61.207/PLTV/88888888/224/3221227162/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8

芒果TV 16M2160,http://183.251.61.207/PLTV/88888888/224/3221226887/index.m3u8
中国教育1HD,http://183.251.61.207/PLTV/88888888/224/3221227067/index.m3u8
东方卫视HD,http://183.251.61.207/PLTV/88888888/224/3221227040/index.m3u8
东南卫视HD,http://183.251.61.207/PLTV/88888888/224/3221227156/index.m3u8
东方卫视HD,http://183.251.61.207/PLTV/88888888/224/3221225828/index.m3u8
东方卫视HD,http://183.251.61.207/PLTV/88888888/224/3221226560/index.m3u8
东方卫视HD,http://183.251.61.207/PLTV/88888888/224/3221227059/index.m3u8
云南卫视HD,http://183.251.61.207/PLTV/88888888/224/3221227181/index.m3u8
北京卫视HD,http://183.251.61.207/PLTV/88888888/224/3221225826/index.m3u8
北京卫视HD,http://183.251.61.207/PLTV/88888888/224/3221227246/index.m3u8
吉林卫视HD,http://183.251.61.207/PLTV/88888888/224/3221227099/index.m3u8
四川卫视HD,http://183.251.61.207/PLTV/88888888/224/3221227182/index.m3u8
天津卫视HD,http://183.251.61.207/PLTV/88888888/224/3221227205/index.m3u8
安徽卫视HD,http://183.251.61.207/PLTV/88888888/224/3221225844/index.m3u8
安徽卫视HD,http://183.251.61.207/PLTV/88888888/224/3221227178/index.m3u8
山东卫视HD,http://183.251.61.207/PLTV/88888888/224/3221225843/index.m3u8
山东卫视HD,http://183.251.61.207/PLTV/88888888/224/3221227236/index.m3u8
广东卫视HD,http://183.251.61.207/PLTV/88888888/224/3221225824/index.m3u8
广东卫视HD,http://183.251.61.207/PLTV/88888888/224/3221227164/index.m3u8
江苏卫视HD,http://183.251.61.207/PLTV/88888888/224/3221225847/index.m3u8
江苏卫视HD,http://183.251.61.207/PLTV/88888888/224/3221227160/index.m3u8
江西卫视HD,http://183.251.61.207/PLTV/88888888/224/3221225834/index.m3u8
